Unnamed: 0,listing__type,item,ellipsize,listing__excerpt,machine_type,location,price,year,KM,KM_1,KM_2,brand,brand_type
0,Bekas,85 - 90K KM,2013 Honda City 1.5 E Sedan - AT Kondisi Bagus,Honda City E Matic Tahun 2013 Kondisi Mulus Terawat Istimewa Seperti Baru DI JAMIN BAGUS ...,Automatic,Jawa Barat,135000000,2013,85 - 90K,85440,90000,Honda,City 1.5 E Sedan
1,Bekas,25 - 30K KM,2023 Honda Brio 1.2 Satya E Hatchback - TDP MULAI 5 JT UNI...,"🔥 TDP Mulai 5 Juta 🔥 Siapa Cepat Dia Dapat, Karena Mobil Kita Fast Moving 🔥 Data Dibantu ...",Automatic,DKI Jakarta,153000000,2023,25 - 30K,29087,30000,Honda,Brio 1.2 Satya E Hatchback
3,Bekas,85 - 90K KM,2015 Nissan Grand Livina 1.5 Highway Star MPV,"MOBIL BEKAS BERKUALITAS, GOOD CONDITION, - Cash / Kredit dibantu - Bisa Tukar Tambah - ...",Automatic,Jawa Barat,130000000,2015,85 - 90K,89370,90000,Nissan,Grand Livina 1.5 Highway Star MPV
4,Bekas,20 - 25K KM,2023 Hyundai Stargazer 1.5 Prime MPV - TDP MULAI 5 JT UNIT...,"🔥 TDP Mulai 5 Juta 🔥 Siapa Cepat Dia Dapat, Karena Mobil Kita Fast Moving 🔥 Data Dibantu ...",Automatic,DKI Jakarta,217000000,2023,20 - 25K,20295,25000,Hyundai,Stargazer 1.5 Prime MPV
5,Bekas,35 - 40K KM,2024 Toyota Avanza 1.5 G MPV,"2024 Toyota Avanza G MPV Harga OTR cash = . 245,000,000 Harga OTR Kredit = . 238,000,000 ...",Automatic,DKI Jakarta,238000000,2024,35 - 40K,35286,40000,Toyota,Avanza 1.5 G MPV
6,Bekas,25 - 30K KM,2022 Toyota Kijang Innova Zenix 2.0 V HV MPV - NS,FOR SALE 🔥🔥🔥 TOYOTA KIJANG INNOVA ZENIX V 2.0 AT 2022 KM : 25.938 CASH : 255.000.000 ...,Automatic,DKI Jakarta,401000000,2022,25 - 30K,26214,30000,Toyota,Kijang Innova Zenix 2.0 V HV MPV
7,Bekas,35 - 40K KM,2022 Hyundai Creta 1.5 Prime SUV - Wagon,"2022 Hyundai Creta Prime Wagon Harga OTR cash = . 301,000,000 Harga OTR Kredit = . ...",Automatic,DKI Jakarta,293000000,2022,35 - 40K,36695,40000,Hyundai,Creta 1.5 Prime SUV
8,Bekas,40 - 45K KM,2022 Toyota Rush 1.5 GR Sport SUV - S,"2022 Toyota Rush S GR Sport SUV Harga OTR cash = . 234,000,000 Harga OTR Kredit = . ...",Automatic,Jawa Barat,228000000,2022,40 - 45K,42317,45000,Toyota,Rush 1.5 GR Sport SUV
9,Bekas,55 - 60K KM,2022 Toyota Agya 1.2 GR Sport Hatchback,"""CARSOME Value - Bekasi [Carsome Value] - 2022 Toyota Agya GR Sport Hatchback Harga OTR ...",Automatic,Jawa Barat,147000000,2022,55 - 60K,58893,60000,Toyota,Agya 1.2 GR Sport Hatchback
11,Bekas,30 - 35K KM,2022 Suzuki Ertiga 1.5 Hybrid SS MPV - Hybrid Sport ISTIME...,SUZUKI ERTIGA HYBRD 1.5 AT 2022 °ＣＡＲＳＯＭＥ ＣＥＲＴＩＦＩＥＤ° NEGO SAMPAI DEAL SAMBIL CHEK UNIT.!!! ...,Automatic,Banten,210000000,2022,30 - 35K,30001,35000,Suzuki,Ertiga 1.5 Hybrid SS MPV
